Goal,Exam,test_Id,version,Sequence,Section,Section_name,event_info,Answer_given_in_view_solution_API,Is_match_in_nlu,question_code,bloom_level_CG,Question_status_in_cg,category,is_alphanumeric status in CG,Is_any_option_repeating,Answer,Ideal_Time,Spent_Time,Attempt_type,nmarks,pmarks,partial_marking,Spent time in fiber API,t_first_look in fiber,t_last_save in fiber,t_first_look-t_last_save (in seconds),fiber attemptTypeBadge,fiber correctAnswerCsv,user_category,Is Match,Comment
Banking,IBPS PO Prelims,mb43851,9,1,ms117119,Reasoning Ability,EM5720164:1.15-en-a,Na,Na,EM5720164:1.15-en,Analysis,Published,Single Choice,True,No,incorrect,75,88,OvertimeIncorrect,-0.25,1.0,False,88.0,1610964202,1610964290,88,OvertimeIncorrect,EM5720164:1.15-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,2,ms117119,Reasoning Ability,EM5720164:2.15-en-a,Na,Na,EM5720164:2.15-en,Analysis,Published,Single Choice,True,No,incorrect,25,17,Incorrect,-0.25,1.0,False,17.0,1610964290,1610964307,17,Incorrect,EM5720164:2.15-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,3,ms117119,Reasoning Ability,EM5720164:3.15-en-a,Na,Na,EM5720164:3.15-en,Analysis,Published,Single Choice,True,No,correct,25,12,Perfect,-0.25,1.0,False,12.0,1610964307,1610964319,12,Perfect,EM5720164:3.15-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,4,ms117119,Reasoning Ability,EM5772893:1.16-en-b,Na,Na,EM5772893:1.16-en,Analysis,UAT Accepted,Single Choice,True,No,incorrect,180,48,Incorrect,-0.25,1.0,False,48.0,1610964319,1610964367,48,Incorrect,EM5772893:1.16-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,5,ms117119,Reasoning Ability,EM5772893:2.16-en-c,Na,Na,EM5772893:2.16-en,Analysis,UAT Accepted,Single Choice,True,No,correct,40,48,OvertimeCorrect,-0.25,1.0,False,48.0,1610964367,1610964415,48,OvertimeCorrect,EM5772893:2.16-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,6,ms117119,Reasoning Ability,EM5772893:3.16-en-a,Na,Na,EM5772893:3.16-en,Analysis,UAT Accepted,Single Choice,True,No,incorrect,40,32,Incorrect,-0.25,1.0,False,32.0,1610964415,1610964447,32,Incorrect,EM5772893:3.16-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,7,ms117119,Reasoning Ability,EM5631250:1.20-en-a,Na,Na,EM5631250:1.20-en,Analysis,Published,Single Choice,True,No,incorrect,45,45,Incorrect,-0.25,1.0,False,45.0,1610964447,1610964492,45,Incorrect,EM5631250:1.20-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,8,ms117119,Reasoning Ability,EM5631250:2.20-en-d,Na,Na,EM5631250:2.20-en,Analysis,Published,Single Choice,True,No,correct,30,34,OvertimeCorrect,-0.25,1.0,False,34.0,1610964492,1610964526,34,OvertimeCorrect,EM5631250:2.20-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,9,ms117119,Reasoning Ability,,Na,Na,EM5631250:3.20-en,Analysis,Published,Single Choice,True,Na,skip,45,25,NonAttempt,-0.25,1.0,False,25.0,1610964526,0,49874,NonAttempt,EM5631250:3.20-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,10,ms117119,Reasoning Ability,EM5631250:4.20-en-e,Na,Na,EM5631250:4.20-en,Analysis,Published,Single Choice,True,No,correct,35,23,Perfect,-0.25,1.0,False,23.0,1610964551,1610964574,23,Perfect,EM5631250:4.20-en-e,Fighter,True,
